v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,4056,0x13ddae0,32,NotifyDeoptimized
code-creation,Builtin,3,4066,0x13ddb20,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,4080,0x13ddb60,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,4091,0x13ddba0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,4105,0x13ddbe0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4130,0x13ddc40,287,CallApiCallback
code-creation,Builtin,3,4139,0x13ddd60,269,CallApiGetter
code-creation,Builtin,3,4146,0x13dde80,12,HandleApiCall
code-creation,Builtin,3,4158,0x13ddea0,12,HandleApiCallAsFunction
code-creation,Builtin,3,4171,0x13ddec0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4184,0x13ddee0,72,AllocateInYoungGeneration
code-creation,Builtin,3,4198,0x13ddf40,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,4211,0x13ddf80,72,AllocateInOldGeneration
code-creation,Builtin,3,4224,0x13ddfe0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,4237,0x13de020,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4249,0x13de220,563,GrowFastDoubleElements
code-creation,Builtin,3,4262,0x13de460,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4274,0x13de620,353,NewArgumentsElements
code-creation,Builtin,3,4288,0x13de7a0,500,DebugBreakTrampoline
code-creation,Builtin,3,4300,0x13de9a0,141,FrameDropperTrampoline
code-creation,Builtin,3,4314,0x13dea40,45,HandleDebuggerStatement
code-creation,Builtin,3,4326,0x13dea80,254,ToObject
code-creation,Builtin,3,4348,0x13deb80,100,ToBoolean
code-creation,Builtin,3,4365,0x13dec00,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4378,0x13ded20,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,4392,0x13dee40,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4405,0x13def20,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4418,0x13df000,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4431,0x13df0e0,85,StringToNumber
code-creation,Builtin,3,4443,0x13df140,129,ToName
code-creation,Builtin,3,4455,0x13df1e0,235,NonNumberToNumber
code-creation,Builtin,3,4468,0x13df2e0,255,NonNumberToNumeric
code-creation,Builtin,3,4481,0x13df3e0,239,ToNumber
code-creation,Builtin,3,4494,0x13df4e0,272,ToNumberConvertBigInt
code-creation,Builtin,3,4506,0x13df600,275,ToNumeric
code-creation,Builtin,3,4518,0x13df720,261,NumberToString
code-creation,Builtin,3,4530,0x13df840,382,ToLength
code-creation,Builtin,3,4543,0x13df9c0,140,Typeof
code-creation,Builtin,3,4555,0x13dfa60,69,GetSuperConstructor
code-creation,Builtin,3,4568,0x13dfac0,125,BigIntToI64
code-creation,Builtin,3,4580,0x13dfb40,12,BigIntToI32Pair
code-creation,Builtin,3,4592,0x13dfb60,309,I64ToBigInt
code-creation,Builtin,3,4606,0x13dfca0,12,I32PairToBigInt
code-creation,Builtin,3,4626,0x13dfcc0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,4640,0x13dfd40,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,4653,0x13e0ac0,16456,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,4666,0x13e4b20,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,4678,0x13e4c20,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,4691,0x13e4c80,20,LoadIC_StringLength
code-creation,Builtin,3,4704,0x13e4ca0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,4717,0x13e4cc0,3112,LoadIC_NoFeedback
code-creation,Builtin,3,4729,0x13e5900,40,StoreGlobalIC_Slow
code-creation,Builtin,3,4742,0x13e5940,7252,StoreIC_NoFeedback
code-creation,Builtin,3,4756,0x13e75a0,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,4769,0x13e7660,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,4782,0x13e76c0,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,4795,0x13e7820,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4809,0x13e7980,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,4824,0x13e7ae0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,4839,0x13e7c40,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,4856,0x13e9700,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4873,0x13ec0e0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,4890,0x13edba0,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,4904,0x13ef520,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,4918,0x13f19e0,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4932,0x13f6f40,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,4946,0x13f9400,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,4960,0x13fc460,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,4972,0x13fc760,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,4985,0x13fc820,80,HasIndexedInterceptorIC
code-creation,Builtin,3,4998,0x13fc880,156,EnqueueMicrotask
code-creation,Builtin,3,5010,0x13fc920,8,RunMicrotasksTrampoline
code-creation,Builtin,3,5022,0x13fc940,3908,RunMicrotasks
code-creation,Builtin,3,5035,0x13fd8a0,2374,HasProperty
code-creation,Builtin,3,5047,0x13fe200,1108,DeleteProperty
code-creation,Builtin,3,5060,0x13fe660,1859,CopyDataProperties
code-creation,Builtin,3,5073,0x13fedc0,8950,SetDataProperties
code-creation,Builtin,3,5086,0x14010c0,36,Abort
code-creation,Builtin,3,5097,0x1401100,36,AbortCSAAssert
code-creation,Builtin,3,5111,0x1401140,12,EmptyFunction
code-creation,Builtin,3,5123,0x1401160,12,Illegal
code-creation,Builtin,3,5135,0x1401180,12,StrictPoisonPillThrower
code-creation,Builtin,3,5147,0x14011a0,12,UnsupportedThrower
code-creation,Builtin,3,5159,0x14011c0,65,ReturnReceiver
code-creation,Builtin,3,5183,0x1401220,36,ArrayConstructor
code-creation,Builtin,3,5195,0x1401260,413,ArrayConstructorImpl
code-creation,Builtin,3,5204,0x1401400,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5214,0x14014e0,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5226,0x14015c0,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5242,0x1401680,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5256,0x1401740,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5270,0x1401800,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5285,0x14018c0,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5299,0x14019a0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5314,0x1401a80,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5327,0x1401ca0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5341,0x1401ea0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5363,0x1402060,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5379,0x1402200,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5394,0x14023c0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5408,0x1402560,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5422,0x1402740,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5437,0x1402900,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,5450,0x1402960,12,ArrayConcat
code-creation,Builtin,3,5462,0x1402980,12,ArrayPrototypeFill
code-creation,Builtin,3,5474,0x14029a0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,5486,0x1402d60,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,5502,0x1402e00,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,5518,0x1402ee0,561,ArrayIncludes
code-creation,Builtin,3,5532,0x1403120,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,5549,0x14034a0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,5559,0x1403520,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,5568,0x14035a0,569,ArrayIndexOf
code-creation,Builtin,3,5576,0x14037e0,12,ArrayPop
code-creation,Builtin,3,5584,0x1403800,674,ArrayPrototypePop
code-creation,Builtin,3,5592,0x1403ac0,12,ArrayPush
code-creation,Builtin,3,5600,0x1403ae0,2758,ArrayPrototypePush
code-creation,Builtin,3,5609,0x14045c0,12,ArrayShift
code-creation,Builtin,3,5617,0x14045e0,12,ArrayUnshift
code-creation,Builtin,3,5626,0x1404600,1074,CloneFastJSArray
code-creation,Builtin,3,5634,0x1404a40,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,5643,0x1405400,1082,ExtractFastJSArray
code-creation,Builtin,3,5657,0x1405840,287,ArrayPrototypeEntries
code-creation,Builtin,3,5668,0x1405960,271,ArrayPrototypeKeys
code-creation,Builtin,3,5682,0x1405a80,287,ArrayPrototypeValues
code-creation,Builtin,3,5696,0x1405ba0,4332,ArrayIteratorPrototypeNext
