v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,3920,0x13ddae0,32,NotifyDeoptimized
code-creation,Builtin,3,3957,0x13ddb20,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,3989,0x13ddb60,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,4022,0x13ddba0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,4056,0x13ddbe0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4069,0x13ddc40,287,CallApiCallback
code-creation,Builtin,3,4080,0x13ddd60,269,CallApiGetter
code-creation,Builtin,3,4090,0x13dde80,12,HandleApiCall
code-creation,Builtin,3,4100,0x13ddea0,12,HandleApiCallAsFunction
code-creation,Builtin,3,4111,0x13ddec0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4123,0x13ddee0,72,AllocateInYoungGeneration
code-creation,Builtin,3,4133,0x13ddf40,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,4144,0x13ddf80,72,AllocateInOldGeneration
tick,0x7fb6908a45f3,4208,0,0x0,6
code-creation,Builtin,3,4247,0x13ddfe0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,4281,0x13de020,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4312,0x13de220,563,GrowFastDoubleElements
code-creation,Builtin,3,4344,0x13de460,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4358,0x13de620,353,NewArgumentsElements
code-creation,Builtin,3,4370,0x13de7a0,500,DebugBreakTrampoline
code-creation,Builtin,3,4380,0x13de9a0,141,FrameDropperTrampoline
code-creation,Builtin,3,4392,0x13dea40,45,HandleDebuggerStatement
code-creation,Builtin,3,4404,0x13dea80,254,ToObject
code-creation,Builtin,3,4414,0x13deb80,100,ToBoolean
code-creation,Builtin,3,4424,0x13dec00,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4435,0x13ded20,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,4446,0x13dee40,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4458,0x13def20,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4471,0x13df000,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4482,0x13df0e0,85,StringToNumber
code-creation,Builtin,3,4493,0x13df140,129,ToName
code-creation,Builtin,3,4502,0x13df1e0,235,NonNumberToNumber
code-creation,Builtin,3,4513,0x13df2e0,255,NonNumberToNumeric
code-creation,Builtin,3,4524,0x13df3e0,239,ToNumber
code-creation,Builtin,3,4534,0x13df4e0,272,ToNumberConvertBigInt
code-creation,Builtin,3,4545,0x13df600,275,ToNumeric
code-creation,Builtin,3,4555,0x13df720,261,NumberToString
code-creation,Builtin,3,4566,0x13df840,382,ToLength
code-creation,Builtin,3,4576,0x13df9c0,140,Typeof
code-creation,Builtin,3,4585,0x13dfa60,69,GetSuperConstructor
code-creation,Builtin,3,4596,0x13dfac0,125,BigIntToI64
code-creation,Builtin,3,4606,0x13dfb40,12,BigIntToI32Pair
code-creation,Builtin,3,4616,0x13dfb60,309,I64ToBigInt
code-creation,Builtin,3,4639,0x13dfca0,12,I32PairToBigInt
code-creation,Builtin,3,4649,0x13dfcc0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,4661,0x13dfd40,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,4673,0x13e0ac0,16456,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,4684,0x13e4b20,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,4695,0x13e4c20,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,4706,0x13e4c80,20,LoadIC_StringLength
code-creation,Builtin,3,4717,0x13e4ca0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,4729,0x13e4cc0,3112,LoadIC_NoFeedback
code-creation,Builtin,3,4740,0x13e5900,40,StoreGlobalIC_Slow
code-creation,Builtin,3,4751,0x13e5940,7252,StoreIC_NoFeedback
code-creation,Builtin,3,4762,0x13e75a0,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,4773,0x13e7660,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,4784,0x13e76c0,340,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,4796,0x13e7820,340,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4809,0x13e7980,340,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,4822,0x13e7ae0,340,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,4836,0x13e7c40,6836,StoreFastElementIC_Standard
code-creation,Builtin,3,4847,0x13e9700,10700,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4863,0x13ec0e0,6832,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,4876,0x13edba0,6500,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,4889,0x13ef520,9396,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,4901,0x13f19e0,21824,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,4914,0x13f6f40,9396,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,4926,0x13f9400,12372,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,4939,0x13fc460,760,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,4951,0x13fc760,176,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,4962,0x13fc820,80,HasIndexedInterceptorIC
code-creation,Builtin,3,4973,0x13fc880,156,EnqueueMicrotask
code-creation,Builtin,3,4984,0x13fc920,8,RunMicrotasksTrampoline
code-creation,Builtin,3,4995,0x13fc940,3908,RunMicrotasks
code-creation,Builtin,3,5008,0x13fd8a0,2374,HasProperty
code-creation,Builtin,3,5018,0x13fe200,1108,DeleteProperty
code-creation,Builtin,3,5029,0x13fe660,1859,CopyDataProperties
code-creation,Builtin,3,5040,0x13fedc0,8950,SetDataProperties
code-creation,Builtin,3,5051,0x14010c0,36,Abort
code-creation,Builtin,3,5061,0x1401100,36,AbortCSAAssert
